EVENTTYPE,REGISTERDATE,STOPID,ODOMETER,LATITUDE,LONGITUDE,TASKID,LINEID,TRIPID,DATAGRAMID,DATAGRAMDATE,BUSID
0,01-NOV-18,516235,33,34271717,-765285267,381,272,272,5792069105,01-NOV-18 05.35.30.000000 AM,600
0,01-NOV-18,-1,-1,34035600,-764755850,-1,-1,-1,5792069106,01-NOV-18 05.35.31.000000 AM,270
0,01-NOV-18,514091,32,34363250,-764798667,286,3422,13,5792069107,01-NOV-18 05.35.31.000000 AM,796
0,01-NOV-18,514494,7,34140317,-764776150,424,357,4,5792069108,01-NOV-18 05.35.31.000000 AM,284
0,01-NOV-18,514083,3,34212150,-764819567,70,2842,468,5792069109,01-NOV-18 05.35.31.000000 AM,1096
0,01-NOV-18,513129,24,34685917,-765004083,480,2402,276,5792069110,01-NOV-18 05.35.31.000000 AM,1093
0,01-NOV-18,516239,68,34183083,-765270467,496,2472,7,5792069111,01-NOV-18 05.35.31.000000 AM,1181
0,01-NOV-18,501700,-1,34318750,-765431317,634,1571,11,5792069112,01-NOV-18 05.35.31.000000 AM,15
0,01-NOV-18,511177,36,33750650,-765504950,160,3122,349,5792069113,01-NOV-18 05.35.31.000000 AM,1233
0,01-NOV-18,501151,2497,34421633,-764814817,709,142,293,5792069114,01-NOV-18 05.35.31.000000 AM,930
0,01-NOV-18,511031,425,33370767,-765316183,691,311,281,5792069115,01-NOV-18 05.35.31.000000 AM,1034
0,01-NOV-18,502601,-1,34201050,-764864300,340,452,9962,5792069116,01-NOV-18 05.35.31.000000 AM,157
0,01-NOV-18,514134,73,34523283,-764889817,22,2242,8,5792069117,01-NOV-18 05.35.31.000000 AM,813
0,01-NOV-18,-1,-1,34037800,-764759833,-1,-1,-1,5792069118,01-NOV-18 05.35.31.000000 AM,14
0,01-NOV-18,511020,12,33532700,-765234183,130,318,8,5792069119,01-NOV-18 05.35.31.000000 AM,189
0,01-NOV-18,514091,32,34363983,-764798933,286,3422,13,5792069120,01-NOV-18 05.35.31.000000 AM,796
0,01-NOV-18,519071,94,34491600,-765387817,131,302,8,5792069121,01-NOV-18 05.35.31.000000 AM,291
0,01-NOV-18,514278,532,34200900,-764889617,747,283,72,5792069122,01-NOV-18 05.35.31.000000 AM,1073
0,01-NOV-18,517200,90,33982633,-765431683,375,377,5,5792069123,01-NOV-18 05.35.31.000000 AM,869
0,01-NOV-18,517200,90,33982600,-765432550,375,377,5,5792069124,01-NOV-18 05.35.31.000000 AM,869
0,01-NOV-18,-1,-1,33583250,-765119950,894,2212,9963,5792069125,01-NOV-18 05.35.31.000000 AM,310
0,01-NOV-18,-1,5629,34426000,-765310950,91,303,9999,5792069126,01-NOV-18 05.35.31.000000 AM,774
0,01-NOV-18,500750,80,34529233,-765315250,563,437,5,5792069127,01-NOV-18 05.35.31.000000 AM,3
